店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
正宗広東私房菜サワダ 梅田エスト店,050-1809-1841,,大阪府,大阪市,北区角田町3-25,梅田エスト,https://keg3500.gorp.jp/?_gl=1*q7wecc*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjEwODk0NS4zNS4wLjA.,True
焼肉ホルモン うちだ,06-4397-3002,,大阪府,大阪市,北区堂山町17-3,イーグルビル1F,https://ked1800.gorp.jp/?_gl=1*zeidsa*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjEwOTEyNC42MC4wLjA.,True
FES 桜橋北新地店,050-5494-6770,,大阪府,大阪市,北区曾根崎新地1-4-17,,https://kef3600.gorp.jp/?_gl=1*1tt2gkn*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjEwOTI0NS4yNi4wLjA.,True
地鶏専門個室居酒屋 天錦 梅田店,050-5485-6166,,大阪府,大阪市,北区堂山町4-17,固城ビル2F,https://kc79549.gorp.jp/?_gl=1*1a1womp*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjEwOTM4Mi4yMy4wLjA.,True
薩摩ごかもん 梅田茶屋町本店,050-5485-2006,mailto:gokamon-umeda@diamond-dining.com,大阪府,大阪市,北区芝田1-8-1,D.D.HOUSE1F,,False
【個室完備】極上肉と旨い海鮮 はなれ －HANARE－ 梅田店,050-5487-1872,,大阪府,大阪市,北区芝田2-3-9,EXCEL UMEDA3F,https://keeu600.gorp.jp/?_gl=1*ulqgg9*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjEwOTU1Ny4yMC4wLjA.,True
KOREAN BISTRO SO 大丸梅田店,050-5494-3973,,大阪府,大阪市,北区梅田3-1-1,大丸梅田店14F,https://k114311.gorp.jp/?_gl=1*1b4dkw2*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjEwOTY3Mi40MC4wLjA.,True
隠れ家個室居酒屋 四季彩‐SHIKISAI‐ 梅田店,050-5492-4908,,大阪府,大阪市,北区芝田2-3-9,EXCEL UMEDA3F,https://ke66300.gorp.jp/?_gl=1*o1cjz4*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjEwOTc1NS4yNC4wLjA.,True
個室和食 梅田燈花 ～1F鮨かうと～,050-5484-5716,mailto:umeda-toka@opefac.com,大阪府,大阪市,北区曽根崎新地2-5-28,,https://k324801.gorp.jp/?_gl=1*19wkx8q*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjEwOTg4MC4zMy4wLjA.,True
博多もつ鍋おおやま リンクスウメダ,050-5493-8054,,大阪府,大阪市,北区大深町1-1,ヨドバシ梅田タワー8F,https://k052661.gorp.jp/?_gl=1*fho2a*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjEwOTk2OC4xOS4wLjA.,True
ECHI PONTE VECCHIO A OSAKA,050-5493-3008,,大阪府,大阪市,北区梅田3-1-3,ノースゲートビルディングLUCUA osaka10F,https://kaj9101.gorp.jp/?_gl=1*1jq7wgz*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMDA4MC4xNC4wLjA.,True
宮崎尾崎牛 和食 鉄板焼き 吟 梅田ヒルトンプラザウエスト,050-5488-1415,,大阪府,大阪市,北区梅田2-2-2,ヒルトンプラザウエスト5F,https://k065449.gorp.jp/?_gl=1*12xzn7i*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMDE1MC4zNy4wLjA.,True
メルカリストランティーノ ルクア大阪店,050-5487-9397,,大阪府,大阪市,北区梅田3-1-3,ルクア大阪B2,https://k207365.gorp.jp/?_gl=1*196gd8u*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMDIzMC4zMC4wLjA.,True
全席個室居酒屋 ひなた 梅田店,050-5486-2530,,大阪府,大阪市,北区小松原町1-10,梅田パルビル7F,https://kakj715.gorp.jp/?_gl=1*6ll9uf*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMDMyNy4xOS4wLjA.,True
個室 炭火と日本酒 吟助 梅田店,050-5487-7990,,大阪府,大阪市,北区茶屋町14-8,2F,https://kcfc207.gorp.jp/?_gl=1*ls6fcc*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMDQyMi4yMi4wLjA.,True
天麩羅 海の幸 天久 グランフロント大阪店,050-5487-5106,,大阪府,大阪市,北区大深町4-20,グランフロント大阪南館7F,https://ke8h201.gorp.jp/?_gl=1*74j03m*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMDQ4NS40Mi4wLjA.,True
地鶏専門 たか鳥 西梅田店,050-5487-6174,,大阪府,大阪市,北区曽根崎新地2-3-21,axビル1F,https://takatorinishiumeda.gorp.jp/?_gl=1*mcvvw5*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMDU0NC41Ni4wLjA.,True
鮨仙酢 本店 大阪駅前,050-5492-0635,,大阪府,大阪市,北区芝田1-3-7,マルシェ芝田1F,https://ke3x110.gorp.jp/?_gl=1*17rv45n*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMDYzNC4yNy4wLjA.,True
個室 熟成肉と熟成魚 こなれ 梅田店,050-5487-1649,,大阪府,大阪市,北区角田町5-1,楽天地ビルB1,https://kcaa572.gorp.jp/?_gl=1*1vxzvpr*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMDk1Ny4xNy4wLjA.,True
